date,close,eps,revenue,symbol
7/30/2018 16:00,13.15,3.88,1000,CSIQ
7/31/2018 16:00,13.48,3.88,1000,CSIQ
8/1/2018 16:00,13.75,3.88,1000,CSIQ
8/2/2018 16:00,13.99,3.88,1000,CSIQ
8/3/2018 16:00,13.72,3.88,1000,CSIQ
8/6/2018 16:00,13.77,3.88,1000,CSIQ
8/7/2018 16:00,14.48,3.88,1000,CSIQ
8/8/2018 16:00,14.72,3.88,1000,CSIQ
8/9/2018 16:00,14.45,3.88,1000,CSIQ
8/10/2018 16:00,14.28,3.88,1000,CSIQ
8/13/2018 16:00,13.58,3.88,1000,CSIQ
8/14/2018 16:00,13.31,3.88,1000,CSIQ
8/15/2018 16:00,13.19,3.88,1000,CSIQ
8/16/2018 16:00,13.11,3.88,1000,CSIQ
8/17/2018 16:00,13.11,3.88,1000,CSIQ
8/20/2018 16:00,13.13,3.88,1000,CSIQ
8/21/2018 16:00,13.09,3.88,1000,CSIQ
8/22/2018 16:00,13.18,3.88,1000,CSIQ
8/23/2018 16:00,13.41,3.88,1000,CSIQ
8/24/2018 16:00,13.86,3.88,1000,CSIQ
8/27/2018 16:00,13.94,3.88,1000,CSIQ
8/28/2018 16:00,13.72,3.88,1000,CSIQ
8/29/2018 16:00,14.8,3.88,1000,CSIQ
8/30/2018 16:00,14.18,3.88,1000,CSIQ
8/31/2018 16:00,14.36,3.88,1000,CSIQ
9/4/2018 16:00,14.51,3.88,1000,CSIQ
9/5/2018 16:00,14.42,3.88,1000,CSIQ
9/6/2018 16:00,14.32,3.88,1000,CSIQ
9/7/2018 16:00,14.65,3.88,1000,CSIQ
9/10/2018 16:00,14.69,3.88,1000,CSIQ
9/11/2018 16:00,14.72,3.88,1000,CSIQ
9/12/2018 16:00,14.94,3.88,1000,CSIQ
9/13/2018 16:00,14.66,3.88,1000,CSIQ
9/14/2018 16:00,14.62,3.88,1000,CSIQ
9/17/2018 16:00,14.66,3.88,1000,CSIQ
9/18/2018 16:00,14.88,3.88,1000,CSIQ
9/19/2018 16:00,14.94,3.88,1000,CSIQ
9/20/2018 16:00,15.33,3.88,1000,CSIQ
9/21/2018 16:00,14.72,3.88,1000,CSIQ
9/24/2018 16:00,14.82,3.88,1000,CSIQ
9/25/2018 16:00,14.66,3.88,1000,CSIQ
9/26/2018 16:00,14.53,3.88,1000,CSIQ
9/27/2018 16:00,14.46,3.88,1000,CSIQ
9/28/2018 16:00,14.5,3.88,1000,CSIQ
10/1/2018 16:00,14.4,3.88,760,CSIQ
10/2/2018 16:00,14.45,3.88,760,CSIQ
10/3/2018 16:00,14.62,3.88,760,CSIQ
10/4/2018 16:00,14.52,3.88,760,CSIQ
10/5/2018 16:00,14.21,3.88,760,CSIQ
10/8/2018 16:00,14.25,3.88,760,CSIQ
10/9/2018 16:00,14.52,3.88,760,CSIQ
10/10/2018 16:00,14.2,3.88,760,CSIQ
10/11/2018 16:00,13.83,3.88,760,CSIQ
10/12/2018 16:00,14.27,3.88,760,CSIQ
10/15/2018 16:00,14.66,3.88,760,CSIQ
10/16/2018 16:00,15.16,3.88,760,CSIQ
10/17/2018 16:00,14.97,3.88,760,CSIQ
10/18/2018 16:00,15.02,3.88,760,CSIQ
